Me: 	EMILY?!
                                    Naomi:	Unfortunately not... anymore.
                                        Me: 	Sorry to hear that... Hopefully I don't bore you.
                    Naomi:	Wow, so direct. What exactly do you want to know?
                            Naomi:	She and I don't have the best relationship...
                                    Naomi:	I did. She left me here, so she could keep being a wino bitch...
                                        Me: 	So, what really made your mom send you here?
                                Narr:	Sensing Naomi’s unease, you drop the subject.
                        Me: 	What's your relationship with your dad like?
                            Naomi:	Oh, daddy? We have a good relationship, but...
                                    Naomi:	It's not his fault...
                                            Naomi:	You... listened to me?
                                    Naomi:	If it weren't for my mother... He wouldn't have to work so hard.
                                            Naomi:	If only it were that simple...
                                                Me: 	Look, if you ever need to talk... I'm here for you, Naomi.
        Narr:	You decide to wait, having done enough chores at camp already.
        Narr:	Naomi looks at you, waiting for you to start.
        Me: 	(I really think my strategy will work...)
        Me: 	*Whistling a melody*
        Naomi:	(Why isn't he doing anything?)
        Naomi:	Hey...
        Naomi:	Are you going to do... anything?
        Me: 	Oh, I was just waiting for you to start.
        Naomi:	Waiting for me?
        Me: 	I just wanted to follow your lead.
        Naomi:	Wow...
        Narr:	Naomi, frustrated by your decision, picks up the rake and begins raking.
        Narr:	Taking your cue, you put on the gardening gloves.
        Narr:	Focused on the task at hand, you begin pulling out the weeds and dry brush.
        Narr:	At first, Naomi looks annoyed by how you acted...
        Narr:	However, after a bit more time watching you work hard, she speaks.
        Naomi:	Hey, Dennis...
        Me: 	Yeah?
        Naomi:	I'm still not over your approach to getting me working...
        Naomi:	But, I appreciate that you helped me out immediately.
        Naomi:	Well, after your initial stunt, actually.
        Me: 	No problem, Naomi.
        Me: 	I'm actually happy to help you.
        Me: 	I think we'll get this done pretty quickly, as a team.
        Naomi:	So... Dennis...
        Naomi:	When did you become such a gentleman?
        Me: 	(Woah, where did that comment come from?)
        Me: 	*Chuckle* You say that like I wasn't one, before.
        Naomi:	*Laugh* Well... You've made great progress recently.
        Me: 	Thank you, my lady.
        Naomi:	Oh, your lady?
        Me: 	(Shit... I shouldn't have said that.)
        Me: 	I was just...
        Naomi:	*Chuckle* Dennis, I'm just fucking with you.
        Me: 	Yeah, heh. I knew you were.
Narr:	You both continue working happily and efficiently.
Narr:	Soon, you're nearly done with Naomi's task.
Me: 	Hey, Naomi?
Naomi:	Yes?
Me: 	Are you...
Me: 	...having a good time with me, today?
Narr:	Naomi stops raking, and looks directly into your eyes.
Naomi:	I'm actually having a really nice time here, with you.
Naomi:	Despite the reason we're out here.
Naomi:	Thanks for talking to me...
Naomi:	(And, for opening up to me.)
Me: 	Maybe we'll get more opportunities to hang out, one-on-one.
Naomi:	If we do, I just hope it won't involve more yard work.
Naomi:	You really want to know?
Naomi:	Ugh. Okay...
Naomi:	Prepare yourself.
Me: 	I'm listening.
Naomi:	So... This is what happened...
Naomi:	My mother was never a kind woman...
Naomi:	She was a spoiled princess, born into wealth...
Naomi:	And, I know what you might be thinking...
Naomi:	Everyone's said the same thing about me, my whole life.
Me: 	Naomi, I wasn't going to--
Naomi:	It doesn't matter.
Naomi:	So. She was a princess born with a silver spoon in her mouth.
Naomi:	Her parents, my grandparents, never paid any attention to her...
Naomi:	Instead, they showered her with gifts.
Naomi:	Dresses, makeup, earrings... Whatever she wanted.
Me: 	And, that spoiled her?
Naomi:	Exactly.
Naomi:	She was accustomed to living the high-life...
Naomi:	But, she was cut off by her parents when she turned 30.
Naomi:	She never really tried to make anything of herself.
Naomi:	She just spent, spent, spent.
Naomi:	But, instead of getting some kind of job to support her lifestyle...
Naomi:	She chose the easy route.
Me: 	She married rich.
Naomi:	Yep.
Naomi:	She found a new sponsor.
Naomi:	At first, she kept her spending somewhat reasonable.
Naomi:	But, once she saw my dad's career developments...
Naomi:	She saw that as her green light to go wild.
Naomi:	As he made more money, she spent more.
Naomi:	She also has other vices, though...
Naomi:	Particularly wine and young men.
Naomi:	I overheard her on the phone one day...
Naomi:	Drunk, a glass of champagne in hand...
Naomi:	She was arranging a meetup with one of her "toys"...
Me: 	(So, her mom is a MILF?)
Me: 	(Dennis, stay focused...)
Naomi:	I was furious!
Naomi:	She was spending my dad's money, which made him busier and busier...
Naomi:	And she had the fucking balls to go behind his back like that?!
Naomi:	So, of course I told him.
Naomi:	She went psycho.
Naomi:	That lying bitch made up some BS about me...
Naomi:	But, I still managed to make my dad suspicious of my mom.
Naomi:	He hired a private investigator, who collected all the dirt my dad needed.
Naomi:	They're getting divorced.
Me: 	Wait...
Me: 	Is that why you're here?
Me: 	Because of the lie your mom told about you?
Naomi:	Yeah.
Naomi:	But, I'd rather not get into that right now.
Me: 	Wait, so your dad bought what she said?
Naomi:	Dennis, please. Not now...
Me: 	(Why would her dad believe his cheating wife, and send Naomi here?)
Me: 	Okay... I won't push it.
Naomi:	Thank you.
Me: 	Thank you, Naomi... for opening up to me.
Naomi:	WOW!
Naomi:	Who knew you could be such an asshole!?
Narr:	Naomi angrily throws the rake to the ground.
Me: 	(Why did I need to poke the bear?)
Me: 	Look... Naomi.
Naomi:	Fuck off!
Me: 	(I should just leave her alone...)
Me: 	(I'm only making her angrier being here.)
Narr:	You keep doing Naomi's chores for a while...
Narr:	...before you speak up again.
Me: 	Naomi...
Me: 	I was being an idiot.
Naomi:	Yes, you were.
Me: 	And... I really am sorry.
Me: 	I've been rude to you for no real reason...
Naomi:	Yes, you have.
Naomi:	You'll have to do much more to make it up to me...
Naomi:	But, for now, we can remain civil.
Me: 	Oh thank god...
Naomi:	Don't thank god, thank me!
Me: 	(Her ego is GARGANTUAN...)
Me: 	Okay.
Me: 	Thank you, Naomi.
Narr:	Naomi smiles at you with warm kindness...
Narr:	...and growing affection.
Naomi:	You're a nice guy, Dennis.
Me: 	(Huh?)
Me: 	Uh, thanks, Naomi.
Me: 	I think you're a nice girl, too.
Naomi:	Do you, now?
Naomi:	When I first got to camp, you had this look on your face...
Naomi:	You were judging me.
Naomi:	So, I fulfilled your warped expectations of me.
Me: 	I didn't know you then.
Me: 	Now that I do, I'd never think the same.
Naomi:	Do you really mean it?
Me: 	I do.
Me: 	I think I actually understand you...
Naomi:	Oh, do you?
Me: 	At least better than before.
Me: 	(I'm sure there are even more quirks to your personality...)
Naomi:	There's no denying that.
Naomi:	*Giggle* You're actually not as dumb as I thought you were.
Me: 	Heh. Thanks, I guess.
Naomi:	That's a compliment!
Naomi:	You also have a nice bod.
Me: 	Uh, thanks, Naomi.
Me: 	(So do you.)
Narr:	As you and Naomi finish clearing the campsite...
Narr:	Eve arrives, ready to hear how it all went.
Eve:	Wow!
Eve:	The area looks great, guys!
Eve:	You both did a wonderful job.
Naomi:	Why, thank you!
Eve:	So, how did that feel, Naomi?
Eve:	That wasn't too difficult, now, was it?
Naomi:	Actually... It wasn't that terrible.
Naomi:	*Softly* Dennis actually helped out a lot.
Eve:	Hmm... How kind of him.
Me: 	It was nothing.
Eve:	Naomi. You and I will have a short debrief later in the day.
Eve:	At the moment, I'm a bit behind schedule.
Eve:	So, Dennis, why don't you show Naomi back to the campground?
Me: 	It would be my pleasure.
Eve:	Wonderful. See you both later.
Me: 	Shall we?
Naomi:	After you.
Me: 	Well, here we are.
Naomi:	You were quite a fine "chauffer".
Naomi:	You're dismissed for the time being.
Me: 	If you insist.
Me: 	Till we meet again.
Naomi:	Toodles, Dennis!
Narr:	Having been dismissed by Naomi, you decide to head back to the house.
Me: 	Ahh... (I finally have a little time to relax...)
Narr:	You make your way back through the campground, and to the house.
Narr:	Outside, you hear voices trailing off toward the Community Area's deck.
Me: 	Hmm... (I wonder who that could be?)
Narr:	Curious who it is, you walk around the house to hear the voices better.
Narr:	Getting closer to the source, you realize the voices belong to Eve...
Eve:	Please be more cooperative...
Narr:	...and Belle.
Belle:	Uggghh! I'm trying!
Belle:	I just can't help it.
Belle:	My mind loves going there...
Me: 	(She has to be talking about sex.)
Eve:	Well, since your mind is allegedly uncontrollable...
Eve:	...I believe our best course of action is to do some meditation.
Belle:	Oooh... Anything kinky?
Eve:	Of course not!
Eve:	But, I think it will help you take your therapy more seriously.
Eve:	Hmmm... I think the dock would be the perfect place to meditate.
Eve:	Nobody should be there to interrupt us.
Narr:	Thinking quick, you walk back toward the front door.
Me: 	(So, Eve and Belle are gonna meditate?)
Me: 	(Really? Just meditation?)
Me: 	(I'm curious to see how that will go...)
Me: 	(Especially with Belle's tendency to get... distracted.)
Me: 	(I mean, I could also just chill on the couch for a bit.)
Me: 	(Both options sound pretty good.)
Narr:	You stand there a moment longer, wondering what you should do.
Me: 	(Hmm...)
        Me: 	(Hmm...)
Me: 	(I think going to the dock is the better choice...)
Me: 	(It'll definitely be more entertaining than TV.)
Narr:	You walk away from the house, and down the path.
Me: 	(Every day I learn new things about these girls...)
Me: 	(I'm actually starting to get used to their quirks.)
Me: 	Heh. (I'd say they're starting to get used to mine, too.)
Me: 	(This is gonna be interesting...)
Me: 	(I wonder how quickly Belle will drive poor Eve crazy...)
Me: 	(Hopefully she cooperates. Despite how boring that might be.)
Me: 	(If there were more to do at camp...)
Me: 	(I wouldn't have to entertain myself by eavesdropping...)
Me: 	(Ah, whatever.)
Narr:	Soon, you make it to the area near the dock.
Me: 	(Okay, now that I'm here...)
Me: 	(Where can I hide?)
Me: 	(Hmm... It looks like I have three options.)
Me: 	(I can hide behind the changing booth.)
Me: 	(I can... hide behind this rock? Maybe?)
Me: 	(Or, I can just sit on the edge of the dock, and act casual.)
Me: 	(What should I do...)
Me: 	(The rock?)
Me: 	(Uhh... Sure, sure.)
Me: 	(I guess this is a decent enough spot.)
Narr:	You crouch down, attempting to hide behind the average-sized rock.
Narr:	While crouched, and "hidden," you spot someone near the edge of the lake...
Me: 	(Who's that, over there?)
Narr:	It's Emily.
Me: 	(What's Emily doing over there?)
Me: 	(It looks like she's... skipping stones?)
Me: 	(If she spots me behind this rock, I'm screwed.)
Narr:	As you think that dreadful thought...
Narr:	...Emily skips one more stone...
Narr:	...before she notices you crouched behind the rock.
Emily:	Oh, hi Dennis!
Me: 	(Damn, she noticed me!)
Narr:	Realizing your cover is blown, you stand up, greeting Emily.
Me: 	Hey, Em!
Narr:	She walks over to you, smiling as she does.
Me: 	How's it going?
Emily:	Good, just skipping stones!
Emily:	What were you doing hiding behind this rock?
Emily:	Spying on meeee?
Me: 	*Chuckle* No, no...
Me: 	(Quick, come up with something!)
Me: 	I was just... looking for salamanders.
Emily:	(What? Salamanders?)
Emily:	I didn't take you for a herpetologist.
Me: 	A herpe-what now?
Emily:	A herpetologist.
Emily:	Someone who studies reptiles and amphibians.
Me: 	Where'd you learn that?
Emily:	That TV channel. World Wild Web.
Me: 	Aha, makes sense.
Me: 	To answer your question, no. I'm not.
Me: 	I just thought I saw one scurry under this rock.
Me: 	And, uhh... decided to investigate.
Emily:	Oh? So, you're a reptile detective now?
Me: 	I... I guess so, Em.
Emily:	*Giggle*
Emily:	Smart choice, Dennis.
Emily:	Starting with the easier cases, and working your way up.
Me: 	Yep, you gotta start somewhere.
Me: 	Anyway...
Me: 	Sorry for interrupting your stone skipping.
Emily:	It's okay. Do you wanna join me?
Me: 	(My cover is already blown... So, why not?)
Me: 	Sure, that would be cool.
Narr:	You give up on your feeble attempt at blending in with the environment.
Narr:	Instead, smartly deciding to join Emily at the lake's edge.
Narr:	You pick up a small, flat stone from the lake's shore.
Me: 	(Flat, angled parallel to the water, and--)
Narr:	You flick your wrist, sending the rock flying.
Narr:	You both watch it skip three times, then fumble and sink into the water.
Me: 	(A decent attempt...)
Emily:	Good job, Dennis!
Emily:	But, watch this.
Narr:	Emily bends down...
Narr:	...and grabs a smooth, flat stone.
Narr:	She brings it to her lips, and gives it a tiny kiss.
Emily:	For good luck, ya know?
Me: 	Whatever helps.
Me: 	(Does she kiss every single stone she throws?)
Narr:	Emily then bends down a bit...
Narr:	...closes one eye...
Narr:	...and winds her arm up.
Emily:	Aaaaaandd!
Narr:	The rock flies from the palm of her hand, along her fingertips...
Narr:	...and away, skipping across the lake's surface.
Narr:	The stone skips 7 times before faltering, sinking into the water.
Emily:	Yes! A personal best!
Me: 	(Woah, she's way better at that than I am.)
Me: 	Great job! Looks like you've been practicing.
Emily:	You noticed?
Me: 	I mean, yeah. How could I not?
Me: 	You beat me by more than double my amount of skips.
Emily:	Maybe I can let you in on my secret techniques...
Me: 	I'd really appreciate that, Em.
Narr:	As Emily begins training you in the ancient art of stone skipping...
Narr:	You see Eve and Belle begin their session on the dock.
Me: 	(Damn it, I missed my chance to listen in on their meditation session...)
Me: 	(When did they even get there?)
Emily:	Hellooooo, Dennis.
Emily:	Was my lecture that boring?
Me: 	Huh? Oh, no. Sorry.
Me: 	I zoned out for a second.
Emily:	No prob. Let's continue.
Narr:	As Emily teaches you her tricks, you occasionally glance over at Eve and Belle.
Me: 	(I wonder what they're saying...)
Me: 	(Ugh. The rock was the worst hiding place I could have chosen.)
Narr:	Finishing her lecture, Emily gives you the go-ahead to try her techniques.
Emily:	It's time, grasshopper.
Emily:	Let the stone fly.
Narr:	You get into position, as Emily did before.
Narr:	Upon entering perfect form, you whip your arm back...
Narr:	And, the moment it flings forward, the stone flies out of your hand.
Emily:	Wooooah!
Narr:	As you watch the stone skip across the lake...
Narr:	...you glance back at the dock and see Eve and Belle standing up.
Narr:	On the seventh skip the rock sinks into the water.
Emily:	7 skips, Dennis! You tied my record!
Narr:	You see Eve and Belle leaving the dock, going back to the campgrounds.
Me: 	(Ugh... They're going back to camp, now.)
Emily:	You have learned well, grasshopper.
Me: 	Thanks, sensei.
Narr:	In passing, Eve turns toward the two of you and waves.
Eve:	Hey you two, it's lunch time!
Narr:	As you begin to walk back toward the camp, Emily grabs your arm.
Emily:	Wait a sec, Dennis...
Emily:	There's something I need to admit...
Me: 	What is it?
Emily:	I've been manipulating you... a teensy bit.
Me: 	(What the hell does she mean?)
Emily:	I... maaaay have been misleading your investigation...
Emily:	...on purpose.
Me: 	What?
Emily:	I wanted you to be suspicious of me.
Me: 	What were you thinking?!
Emily:	I wasn't! That's the problem!
Emily:	I wanted to spend time with you so badly...
Emily:	But, you were either busy with Eve's chores...
Emily:	...or, spending your free time with the new girls.
Emily:	Completely forgetting about me.
Me: 	(Is she serious?)
Emily:	I felt... invisible to you.
Emily:	Dennis... I'm so sorry.
Emily:	I didn't mean to torture you...
Me: 	I'm shocked... but...
Me: 	(She seems genuinely apologetic...)
Me: 	I forgive you.
Emily:	Oh, really, Dennis?
Emily:	Thank you, thank you so much.
Narr:	Emily jumps on you, hugging you tightly.
Me: 	Em...
Emily:	What is it?
Me: 	You're crushing me.
Emily:	Oh, sorry!
Me: 	Let's go, Em. Lunch is waiting.
Me: 	(The changing booth is my best bet.)
Me: 	(But, I might not hear them that well from over there.)
Me: 	(Better than being caught, though.)
Narr:	Confident in your choice to hide out behind the changing booth...
Narr:	You get into position, and eagerly await Eve and Belle.
Me: 	(This is a great hiding spot. They'll never see me over here.)
Narr:	You wait behind the changing booth wall.
Narr:	Occasionally peeking around the corner, to check for Eve and Belle.
Me: 	(They're really taking their sweet time...)
Narr:	Eventually, you peek your head around as usual and spot them on the dock.
Me: 	(Finally!)
Me: 	(Now the show can begin.)
Narr:	Eve beckons toward the ground, inviting Belle to sit.
Eve:	Please, sit. Get comfortable.
Narr:	Belle sits down, legs crossed.
Narr:	Shortly after, Eve does the same.
Belle:	Like this? Ooooooommmmmm.
Eve:	If you're comfortable like that, sure.
Eve:	But, we won't be chanting any mantras today.
Belle:	Thaaaaat is laaaaameee.
Eve:	Please, just quiet your mind.
Eve:	Close your eyes...
Eve:	And, listen to my voice.
Me: 	(Huh.)
Me: 	(I can actually hear them pretty well.)
Me: 	(Hopefully they keep talking at this volume.)
Eve:	Listen to the words...
Eve:	Let them resonate within your mind...
Eve:	Like the sound of a perfectly tuned bell.
Belle:	I don't hear the bell.
Eve:	It was a simile, Belle.
Eve:	Please, focus.
Me: 	(That's going to be the hardest part...)
Me: 	(Getting her to settle down.)
Narr:	Belle assumes a good meditative posture and quiets down.

Eve:	Take a slow... deep... breath.
Eve:	Inhale fully, and exhale.
Belle:	*Deep breath in*
Belle:	*Long exhale*
Eve:	Good.
Eve:	Notice your breath...
Eve:	Bring all your awareness there.
Eve:	Slowly allow your awareness to shift...
Eve:	Notice the thoughts going through your mind.
Narr:	Eve goes quiet, and pauses for a few moments, allowing Belle to think.
Eve:	What did you think about?
Belle:	Well...
Belle:	At first, I thought about the feeling of a man inside me.
Me: 	(I'm not surprised one bit...)
Eve:	Belle, please! Keep it PG.
Belle:	I thought meditation was for the open-minded.
Eve:	You're--You're right. Please, continue...
Belle:	Then, I thought about you, in sexy lingerie...
Eve:	*Clears throat*
Belle:	After that, I thought about...
Belle:	Someone I met recently.
Eve:	Oh. Is it one of the other patients?
Belle:	Well, it might be...
Me: 	(I hope she doesn't mention me...)
Belle:	But, that doesn't matter right now.
Belle:	There was something beyond all of that, though...
Eve:	Please, elaborate...
Belle:	Well... For some reason, I imagined myself in a room...
Belle:	From my childhood.
Me: 	(I wonder what her childhood was like...)
Me: 	(I'd guess she has daddy issues.)
Eve:	Can you describe the room for me?
Belle:	It was a small, square room.
Belle:	Pink walls, with white trim. Like a dollhouse...
Belle:	I saw my old dolls, my bed, my vanity table, and...
Belle:	My father came into the room, and the room faded away.
Eve:	(I wonder what association she has with her father...)
Eve:	Thank you, Belle.
Eve:	Let's continue.
Eve:	Do not get caught up in your thoughts.
Eve:	Notice them as they travel across your mind.
Eve:	Do not focus on them, do not stop them...
Eve:	Let them go. Let them pass.
Eve:	Like water flowing beneath a bridge.
Eve:	Continue breathing deeply.
Eve:	I will describe places. Feel them, make them real in your mind.
Eve:	You see an ocean.
Eve:	It is deep, and blue...
Eve:	Beneath your feet is a sandy beach.
Eve:	You feel the sand's warmth under your toes.
Eve:	The ocean's waves change, and become the peaks of sand dunes.
Eve:	The sand extends from where you stand to the horizon.
Eve:	It is endless, but you don't feel hot.
Eve:	It is the perfect temperature, neither hot nor cold.
Eve:	You feel a breeze, and the sand caresses your cheek.
Eve:	You look up, and see the vast, endless blue of the sky.
Eve:	A black dot crosses your vision.
Eve:	It is the silhouette of a bird.
Eve:	You focus your eyes on the bird, realizing it's an eagle.
Eve:	Your eyes follow the eagle, until it lands on the top of a tall pine tree.
Eve:	You follow the pine tree, down to the earth...
Eve:	...realizing you're in a forest.
Eve:	Recognizing the trees, you see a lake in the distance.
Eve:	Slowly, you approach the lake...
Eve:	As you come closer, two people come into view.
Eve:	They are sitting on a dock, meditating.
Eve:	Go toward the you sitting on the dock.
Eve:	Rejoin with yourself, and take a final, deep breath.
Belle:	*Deep inhale*
Eve:	Good. Now, exhale.
Belle:	*Long exhale*
Eve:	And, open your eyes.
Eve:	Welcome back.
Eve:	How do you feel?
Belle:	I feel...
Belle:	Pretty relaxed.
Eve:	That's good. Any other feelings?
Belle:	I feel... oddly content. Lighter.
Eve:	Good, then our sessions going forward will be more impactful.
Belle:	You think?
Eve:	I have a good feeling about it.
Me: 	(She didn't divulge anything interesting...)
Me: 	(But, I oddly feel like I've been on that mental journey, with Belle.)
Me: 	(Eve is pretty good at guiding meditations.)
Me: 	(She could have easily started her own studio, in another life.) 
Narr:	Eve stands up, offering Belle her hand.
Eve:	Here, take my hand.
Belle:	Gladly.
Narr:	Eve helps Belle up from her seated position.
Belle:	(Eve's hands are so soft...)
Belle:	Thanks.
Eve:	Now, let's get you back to your campground.
Eve:	It's almost lunch time.
Me: 	(Oh, is it?)
Me: 	(I should wait here a bit before heading over there.)
Me: 	(Just to make sure they don't suspect me of spying.)
Me: 	(I think playing it cool would work out best.)
Me: 	(If anything, they'll just ask me to leave.)
Me: 	(No biggie.)
Narr:	Casually, you walk over to the dock.
Narr:	You sit down, letting your legs hang over the edge.
Narr:	Taking in the scenery, you spot Emily at the lake's edge, skipping stones.
Narr:	She notices you too, and waves at you.
Narr:	You wave back at Emily.
Narr:	She smiles at you as she skips another stone.
Me: 	(It's a pretty nice day.)
Me: 	(Kinda getting hot, though.)
Narr:	Emily skips a few more stones, while you relax on the dock...
Narr:	Before Eve and Belle arrive.
Eve:	Oh, hi Dennis.
Me: 	Hey Eve.
Belle:	Heeeey, Dennis. What're you up to?
Me: 	Just enjoying the lake.
Eve:	Sorry for doing this... but, you'll need to find another spot.
Eve:	We need some privacy for Belle's session.
Me: 	Ah, yeah... no prob--
Belle:	Please, Eve. Let Dennis join us.
Me: 	(She's really roping me into this!?)
Eve:	I don't think that's a good idea.
Belle:	I think he'd be great support.
Belle:	I'd feel more relaxed with Dennis joining in the meditation.
Eve:	Belle, no.
Eve:	That would definitely distract you.
Belle:	How is this fair?
Belle:	Naomi had Dennis's support during her session...
Belle:	That just doesn't seem fair to me.
Eve:	Well...
Eve:	*Sigh* Okay.
Eve:	If you promise to take this seriously, Belle.
Eve:	And, if Dennis promises to be quiet and courteous.
Me: 	Deal.
Belle:	Thanks, Eve!
Eve:	Belle, Dennis.
Eve:	Please, sit down and get into a comfortable position.
Narr:	You and Belle sit down, cross-legged.
Eve:	Good. Now, close your eyes.
Narr:	You both follow Eve's suggestion and close your eyes.
Eve:	Good. Gooood.
Eve:	Place one hand on your stomach, and one hand on your chest.
Narr:	You and Belle both put your hands where instructed.
Eve:	Feel your chest rise and fall.
Eve:	Feel your stomach rise and fall.
Eve:	Inhale.
Eve:	Exhale.
Narr:	Seeing you and Belle following along smoothly, and without resistance...
Narr:	Eve closes her eyes, before continuing to lead the meditation.
Eve:	Continue breathing naturally, feeling the air flow into your nostrils...
Eve:	Then, out through your nostrils.
Eve:	Continue to feel your breath for a few moments.
Narr:	With eyes closed, you hear all three of you breathing calmly.
Eve:	*Exhales* On the next inhale, feel your belly rise.
Narr:	Oddly, you feel a sensation near your knee.
Me: 	(Hmm?)
Eve:	Then, feel your ribs expand, and your chest lift up.
Narr:	As Eve says this, you feel the sensation move upwards.
Me: 	(What's on my leg?)
Me: 	(A bug?)
Eve:	On the exhale, the breath leaves your chest.
Eve:	Your ribs fall, and stomach contracts.
Narr:	You take a peek down at your leg, and see nothing there.
Narr:	You then peek up toward Belle, and see her in meditation, eyes closed.
Me: 	(Huh, nothing.)
Me: 	(Must have been a bug...)
Eve:	Continue with this breath, feeling all three parts of the breath.
Eve:	Think to yourself...
Eve:	Stomach...
Narr:	You once again feel the sensation on your knee.
Eve:	Ribs...
Narr:	You feel the sensation move up your leg, again.
Me: 	(What the hell is that?!)
Eve:	Chest...
Narr:	The sensation quickly rushes up your leg and to your crotch.
Me: 	*Muffled cough* (BELLE?! WHAT THE HELL?!)
Narr:	You quickly, but cautiously peek over at Belle...
Narr:	A huge, playful, grin is plastered across her face.
Narr:	She winks at you, before making a "shh" sign with her hand...
Narr:	Before continuing to rub your crotch some more.
Me: 	*Muffled choking* (What's she doing?!)
Me: 	(She'll get us both caught!)
Narr:	Despite your slight commotion, Eve continues the meditation.
Eve:	Breathe... Breathe... 
Eve:	Repeat this breath three times.
Narr:	Belle continues stroking your crotch as the meditation continues...
Narr:	Making you rock hard.
Me: 	(Ah fuck, she gave me a hard-on...)
Me: 	(I hope, for our sake, that Eve doesn't notice it...)
Eve:	With your third exhale, begin to feel the breath...
Narr:	Belle keeps grabbing at your girthy member, with growing intensity.
Eve:	Feel the breath as a wave coming up from the stomach, and rising...
Me: 	(Shit, she's gonna make me...)
Eve:	Hold this breath for two counts.
Narr:	You grab Belle's hand, stopping its assault on your crotch.
Belle:	(Aww, the fun's over?)
Eve:	Now, exhale. 
Narr:	As you exhale, you twinge with a slight pain from blue balls.
Eve:	Feel calmness in the breath.
Narr:	You hold Belle's hand for a moment, before pushing it away.
Me: 	(Wow, her hands are so soft.)
Belle:	(Oh, his grip is strong...)
Eve:	Feel ease and steadiness.
Eve:	When you're both ready, open your eyes.
Narr:	You and Belle open your eyes calmly.
Eve:	Belle, how do you feel?
Belle:	I feel super relaxed.
Eve:	Good. I think our next session will be fruitful.
Narr:	Eve stands up first, then you stand.
Me: 	Need a hand?
Belle:	(Giving me a hand after I gave you one?)
Narr:	You offer your hand to Belle, helping her up.
Belle:	You're such a gentleman, Dennis.
Eve:	Well, that's it for your session for today, Belle.
Eve:	Now, it's lunch time.
Narr:	As you stand before Eve, she unfortunately notices your bulge.
Eve:	(Is that a...)
Eve:	(Why the hell does he have a hard-on!?)
Eve:	(Ah... The hormones of young men.)
Narr:	However, she makes no comment about it...
Narr:	In fact, she brushes it off as if she hadn't seen it at all.
Eve:	Follow me, you two.
Me: 	(Relaxing back at the house, on the couch, sounds pretty nice...)
Me: 	(I've barely had any time to chill on the couch since I got here.)
Narr:	You follow your desire to relax and head inside the house.
Narr:	Once inside, you plop down onto the couch.
Me: 	Aaaahhh...
Narr:	You reach for the remote and turn on the TV.
Me: 	(I wonder if there's anything good on.)
Narr:	You flip through the channels...
Me: 	(Soap operas, news, reality shows...)
Me: 	(Doesn't seem like anything good is on.)
Narr:	Eventually, you give up and settle on a random channel.
Me: 	(Guess I'll just watch... this.)
Me: 	(Whatever this is...)
Narr:	You spend a few moments watching the channel you ended up on.
Me: 	(What even is this?)
Me: 	(Who makes these shows, anyway?)
Me: 	*Yawn* (This is why TV is dead...)
Narr:	Luckily for you, the front door opens and Kiara walks in with the groceries.
Kiara:	Oh, hey Dennis. How's it going?
Me: 	Hey, Kiara. Need any help?
Kiara:	Oh, no no. It's fine. 
Kiara:	I'll just put these in the kitchen, and be right back.
Narr:	As Kiara pops into the kitchen momentarily...
Narr:	...you realize your opportunity has arrived.
Me: 	(This is my chance to talk to Kiara.)
Me: 	(I need to settle this stupid mystery, now.)
Narr:	Kiara returns from the kitchen, breaking your thought process.
Narr:	She quickly sits down next to you on the couch.
Kiara:	What ya watchin'?
Me: 	Oh, nothing really.
Me: 	There's nothing good on right now.
Narr:	You turn the TV off, giving you and Kiara the chance to talk.
Me: 	Hey, Kiara...
Kiara:	Hey, Dennis.
Me: 	Can I ask you something?
    Kiara:	Sure. What's up?
        Me: 	I want to cut the BS... Why did you have that rope and mask?
            Kiara:	I told you, they magically appeared.
                Me: 	Do you think I really buy that? Tell me the truth!
                Me: 	We both know things don't just "magically" appear...
                    Kiara:	Well, yeah. It's just a figure of speech. Someone must have planted them there.
                        Me: 	Why even hide them, and not just throw them away?
                            Kiara:	I don't know... Look, I really don't know anything else...
                                Me: 	Fine, I believe you... (I'll have to try again later.)
                            Kiara:	I don't know. Maybe it was one of the patients...
                                Me: 	You're right, they are sneaky... (I'll try again later.)
        Me: 	Remember what we talked about the other night?
            Kiara:	I think so... Wasn't it about the morning you woke up in the forest?
                    Kiara:	I remember now. Did you ever find out who did it?
                Me: 	Yeah. Specifically, it was about that rope and mask.
                    Kiara:	Oh yeah. I told you that night, though. I don't know how that stuff got under my bed.
                        Me: 	That's the big mystery now... Anyway, thanks for the help.
Kiara:	Look, Dennis... I really have to get going.
Kiara:	I'm supposed to prepare lunch for today, and I'm already running late.
Me: 	(She definitely seems anxious.)
Me: 	(My questioning probably spooked her.)
Me: 	No worries. Go ahead.
Me: 	Oh, do you need any help making lunch?
Kiara:	No, no. It's fine.
Kiara:	I'll be quicker working on my own.
Me: 	If you say so...
Me: 	(She's really freaked out... I think this confirms it...)
Me: 	(It must have been her.)
Narr:	In a flash, Kiara is done making lunch.
Narr:	You see her emerge from the kitchen holding a tray of sandwiches.
Me: 	(Guess our lunch today is sandwiches.)
Narr:	Immediately after...
Narr:	She takes the sandwiches piled on the tray out the front door.
Kiara:	Really gotta go, see ya!
Me: 	See you later, Kiara.
Narr:	Kiara leaves the house, rushing toward the girls' campground.
Me: 	(She was acting really suspicious...)
Me: 	(Oh well, I'll get my answers later.)
Narr:	You get up off the couch and head to the girls' campground for lunch.
Kiara:	Sorry to leave you so soon, but I really have to go prep lunch.
Me: 	Lunch?
Kiara:	Today, we're all having some simple sandwiches.
