Me: 	What's wrong with you!?
        Me: 	(She's touching herself... Fuck, she looks so hot doing that.)
        Narr:	You're watching her, trying your best not to make a sound, your body stiff as a board.
        Narr:	And that's not the only thing that's stiff.
        Me: 	(She's making me so hard just by looking at her.)
        Me: 	(Wonder what or whom she might be fantasizing about.)
        Violet:	*Soft moan*
        Violet:	Mmmm, yes, fuck me, fuck me harder.
        Narr:	Violet picks up the pace, rubbing her pussy with increased zeal.
        Violet:	Oh my god... Yesss...
        Violet:	I want to feel it deep inside me, give it all to me, please!
        Violet:	Please...
            Narr:	As you watch Violet finger herself, with your cock twitching in your pants, wanting to break free, a sinister idea comes to mind.
            Me: 	(I know I got slapped the first time, but what if... what if I make her reach her climax faster?)
            Narr:	You're actually thinking about it, aren't you?
                Narr:	You're actually thinking about it, aren't you?
                    Me: 	(Fuck it, fortune favors the bold!)
                    Violet:	Oh my fucking... Dear fucking god...Oohh...
                    Narr:	Violet starts spasming as she orgasms; her whole body shakes, legs going numb.
                    Me: 	(She's so gorgeous when she cums. I think she can take some more.)
                    Narr:	Encouraged by the sight of Violet's bliss, you clap again.
                    Violet:	Aaaahhhh! Mmmmmhhh...
                    Narr:	Violet lets out a moan, still shaking. Her fingers are still deep inside of her, but she's slowing the pace.
                    Violet:	*Soft moan* Fuck me...
                    Me: 	(That was so hot.)
                    Narr:	To your surprise, it appears that Violet's not finished. Her nimble fingers are now playing with her clit.
                    Narr:	She's biting her lip, still entrapped in ecstasy.
                    Me: 	(She's not done? Violet sure is in a mood today...)
                    Me: 	(I could watch her play with herself for hours... Wouldn't mind joining the action either.)
                    Narr:	It was almost like she heard you.
                    Violet:	Dennis... [m!ct]?!
                    Me: 	(For fuck sake, she saw me. Now I'm in trouble.)
                    Me: 	It's really not what it looks like!
                    Narr:	Great save there.
                    Violet:	It's not?! Tell me, what does it look like?
                    Me: 	It looks like I was spying on you while you were showering.
                    Me: 	But, please, listen!
                    Me: 	I came to get you since Emily went ahead with the rest of the girls.
                    Me: 	And I heard you since the doors weren't fully closed.
                    Me: 	When I saw you... I couldn't stop. I couldn't help but to admire you.
                    Violet:	Wha... what?
                    Me: 	Seeing you touching yourself, not scared of your sexuality, looking so unrestrained...
                    Me: 	That's what made me look and admire.
                    Me: 	That's what makes you so hot, Violet.
                        Narr:	Violet notices how hard you've become. Now she's the one with an idea.
                        Violet:	How hot do you think I am?
                        Narr:	You look at Violet, feeling almost dizzy from how stunning she is.
                        Narr:	It's not only because there's a beautiful, naked girl in front of you.
                        Narr:	Violet is radiant. She's composed, confident and aware of herself. She's -
                        Me: 	- so fucking hot.
                        Violet:	Show me.
                        Violet:	Hmmm, I'm inclined to believe you.
                        Violet:	But you were still spying on me, Dennis!
                        Violet:	You were watching me in a private moment! While I was in the shower!
                        Violet:	Have you been doing that since I came to camp?!
                        Me: 	I haven't! This just happened!
                        Me: 	You were so beautiful, Violet. You ARE so beautiful.
                        Me: 	I know looking at you was not the right thing to do, but I just...
                        Violet:	And you even clapped?! You know full well how I react to that!
                        Me: 	...
                        Violet:	I can't...
                        Narr:	Violet is like a raging hurricane about to storm out of the booth.
                        Narr:	She's about to brush you off as you gently take hold of her arm, stopping her in her tracks.
                        Narr:	The look she gives you is one of discontent. But, there is something hidden behind those eyes.
                        Narr:	You're surprised by the kiss, even more so as Violet puts her arms around your neck and presses herself onto you.
                        Violet:	But you were still spying on me, Dennis!
                        Violet:	You were watching me in a private moment! While I was in the shower!
                        Violet:	Have you been doing that since I came to camp?!
                        Me: 	I haven't! This just happened!
                        Me: 	You were so beautiful, Violet. You ARE so beautiful.
                        Me: 	I know looking at you was not the right thing to do, but I just...
                        Violet:	And you even clapped?! You know full well how I react to that!
                        Me: 	...
                        Violet:	I can't...
                        Narr:	Violet is like a raging hurricane, about to storm out of the booth.
                        Narr:	She's about to brush you off as you gently take hold of her arm, stopping her in her tracks.
                        Narr:	The look she gives you is one of discontent. But there is something hidden behind those eyes.
                        Narr:	You want to kiss her so badly.
                        Violet:	I can get past what you just did Dennis... eventually.
                        Violet:	But, right now, I'm going to ask you to leave and let me get dressed.
                        Me: 	(Why the fuck did I clap? What I expected would happen?)
                        Narr:	You sit on the log and after a short while, she exits the cabin and heads towards you.
                        Narr:	You're having real trouble getting her moans of pleasure and the image of her climaxing to stop playing on loop in your head.
                        Violet:	I'm ready to go now.
                        Me: 	Uh, okay. We aren't that far behind.
                        Narr:	The tension between you two is palpable. You really botched it. But you have to break this silence. Somehow.
                        Narr:	You continue walking in awkward silence.
                        Me: 	(I don't think anything I say would make this situation any better. Best I let her have space and hope she forgives me.)
                        Me: 	(Can't wait to get to the house so this situation is done with.)
                        Narr:	Violet and you are followed by continued and prolonged silence and a worming thought of what might have just happened.
                        Me: 	Anyways, we better hurry. Emily is nowhere to be seen, which can only mean she's already there.
                        Me: 	And that they're waiting for us.
                        Violet:	Oh, okay. Then I hope you can keep up the pace then.
                        Me: 	(Damn it, Violet. You and your athletic legs.)
                    Me: 	(I'd rather not risk it. Both getting hit or her suing the camp.)
                    Me: 	(I would probably regret it, anyways.)
                    Violet:	Aaaaghhh!
                    Narr:	Hearing her resonating moan makes your hand go, almost instinctively, toward your crotch.
                    Narr:	Let's see how this unfolds.
                    Me: 	(What I would give to feel those luscious lips around my cock.)
                    Violet:	Mmmmmh, mhmmmh...
                    Me: 	(To suck on those tits, lick those shapely nipples.)
                    Violet:	Aaaa-aaaaah.. *pants* It feeels soo gooood...
                    Me: 	(And then, slooowly slide into her pussy, feeling just how wet and tight she is.)
                    Violet:	Mmmmmh, yeees, just like that...
                    Me: 	(Slowly fucking her, savoring every moment as she moans for me.)
                    Violet:	Aaaa-aaaaah.. *pants* Uhhh, I'm so close...
                    Violet:	Aaaahhh!
                    Narr:	Violet lets out a loud moan as she orgasms, startling you out of your fantasy. You sharply slam the door on instinct.
                    Me: 	(Oh shit!)
                    Me: 	(I don't think Violet would take kindly to me spying on her.)
                    Me: 	(Or my hard-on. She would know I've been looking at her.)
                    Me: 	(Damn it, I just hope she didn't see me.)
                    Me: 	(It's gonna be tough keeping the image of her out of my head...
                    Me: 	(But, we better get going.)
                    Me: 	(Maybe I can still turn this around.)
                    Me: 	(Here goes nothing.)
                    Me: 	*Knocks*
                    Me: 	*Clears throat* Violet, it's me, Dennis. I came to check if you're gonna be done soon.
                    Me: 	Emily already went away with the rest of the girls.
                    Violet:	(Did he hear me? Wait, did he see me?)
                    Violet:	I'll be right out.
                    Me: 	Okay, I'll wait by the campfire.
                    Narr:	You sit on the log, and soon enough, Violet emerges from the booth.
                    Narr:	She's still drying herself with a towel, caressing her body with its warmth.
                    Violet:	*Blushes* I'll just go grab something to wear.
                    Me: 	(Violet's so pretty. If only she was more confident about it.)
                    Narr:	After a short while, she exits the cabin and heads towards you.
                    Narr:	You're having real trouble getting her moans of pleasure and the image of her climaxing to stop playing on loop in your head.
                    Violet:	Oh... hey! Sorry to keep you waiting, I'm ready to go now.
                    Me: 	No problem, we aren't that far behind.
                    Narr:	She appears nervous. It's quite possible she might have heard or even saw you!
                    Narr:	The tension between you two is palpable. It's clear she knows you were looking... but you have to break this silence. Somehow.
                        Me: 	It was nice working out with you again, Violet.
                        Violet:	Thanks Dennis! You did so great at explaining the poses to Emily.
                        Me: 	That's only because you're a great instructor.
                        Narr:	You continue walking, laughing at your previous attempts at yoga.
                        Narr:	You manage to keep Violet from thinking about what might have happened. 
                        Me: 	(She's so beautiful when she's smiling. She's finally feeling more relaxed.)
                        Narr:	But you can't stop thinking about the what if.
                        Me: 	You and Emily had quite a workout, huh?
                        Violet:	Yeah, Emily seems eager for any kind of activity.
                        Violet:	She has so much energy, it's astounding.
                        Me: 	It was nice watching you both break a sweat.
                        Narr:	Why would you say something like that?
                        Narr:	You continue walking in awkward silence.
                        Me: 	(She probably knows that I heard her. Or worse, was watching her. I mean, she's not wrong, but still.)
                        Me: 	(Can't wait to get to the house so this situation is done with.)
                        Narr:	Violet and you are followed by continued and prolonged silence and a worming thought of what might have just happened.
                    Me: 	Anyways, we better hurry. Emily is nowhere to be seen, which can only mean she's already there.
                    Me: 	And that they're waiting for us.
                    Violet:	Oh, okay. Then I hope you can keep up the pace then.
                    Me: 	(Damn it, Violet. You and your athletic legs.)
            Violet:	Aaaaghhh!
            Narr:	Hearing her resonating moan makes your hand go, almost instinctively, toward your crotch.
            Narr:	Let's see how this unfolds.
            Me: 	(What I would give to feel those luscious lips around my cock.)
            Violet:	Mmmmmh, mhmmmh...
            Me: 	(To suck on those tits, lick those shapely nipples...)
            Violet:	Aaaa-aaaaah.. *pants* It feeels soo gooood...
            Me: 	(And then, slooowly slide into her pussy, feeling just how wet and tight she is.)
            Violet:	Mmmmmh, yeees, just like that...
            Me: 	(Slowly fucking her, savoring every moment as she moans for me.)
            Violet:	Aaaa-aaaaah.. *pants* Uhhh, I'm so close...
            Violet:	Aaaahhh!
            Narr:	Violet lets out a loud moan as she orgasms, startling you out of your fantasy. You sharply slam the door on instinct.
            Me: 	(Oh shit!)
            Me: 	(I don't think Violet would take kindly to me spying on her.)
            Me: 	(Or my hard-on. She would know I've been looking at her.)
            Me: 	(Damn, I just hope she didn't see me.)
            Me: 	(It's gonna be tough keeping the image of her out of my head...)
            Me: 	(But we better get going.)
            Me: 	(Maybe I can still turn this around.)
            Me: 	(Here goes nothing.)
            Me: 	*Knocks*
            Me: 	*Clears throat* Violet, it's me. Dennis. I came to check if you were gonna be done soon.
            Me: 	Emily already went with the rest of the girls.
            Violet:	(Did he hear me? Wait, did he see me?)
            Violet:	I'm almost done! (Great choice of words, Violet).
            Me: 	Okay, I'll wait by the campfire.
            Violet:	Hey, wait!
            Narr:	The words escaped her lips. Even Violet seemed surprised by them.
            Violet:	How long have you been here? By the booth?
            Me: 	Errr, not long? I've only just arrived.
            Me: 	(I just hope she doesn't notice my hard-on.)
            Narr:	And, you jinxed it.
            Violet:	(So he was looking!)
            Violet:	(Can't say it's not flattering, or enticing... but he was spying on me whilst I was in the shower!)
            Violet:	(Maybee? No, I really shouldn't...)
            Me: 	As I said, I came to check on you, since all the girls already left.
            Violet:	(Oh, we're alone here?)
            Narr:	Looking at your bulge and now knowing that you're alone at the campground, Violet goes for a gambit...
            Narr:	Out of common courtesy, you try to avert your gaze, but you just can't.
            Narr:	You look at Violet, feeling almost dizzy from how stunning she is.
            Narr:	It's not only because there's a beautiful, naked girl in front of you.
            Narr:	Violet is radiant. She's composed, confident and aware of herself.
            Me: 	...
            Violet:	*Embarrassed* This was a mistake, sorry...
            Me: 	Wait...
            Narr:	It's like you're unintentionally mimicking her, reliving the same emotions that she was going through.
            Me: 	You're gorgeous, Violet. You're a goddess.
            Narr:	As you approach her, you see her breasts heave and you can hear her shallow breathing.
            Violet:	Mhm.
        Me: 	(I better not. I don't think Violet would take kindly to me spying on her.)
        Me: 	(Also, I'm here to get her ready so we can go see Eve.)
        Me: 	*Knocks*
        Narr:	The moaning abruptly stops and all you can hear is the shower.
        Me: 	Violet, it's me, Dennis. I came to check if you were gonna be done soon.
        Me: 	Emily already went with the rest of the girls.
        Violet:	(He heard me, he definitely heard me.)
        Violet:	I'm almost done! (Why would I say that?! Nice choice of words, Violet.)
        Me: 	Okay, I'll wait by the campfire.
        Narr:	You sit on the log, and soon enough, Violet emerges from the booth.
        Narr:	She's still drying herself with a towel, caressing her body with its warmth.
        Violet:	*Blushes* I'll just go grab something to wear.
        Me: 	(Violet's so pretty. If only she was more confident about it.)
        Narr:	After a short while, she exits the cabin and heads toward you.
        Narr:	You're having trouble getting her moans of pleasure out of your head.
        Violet:	Oh... hey, sorry to keep you waiting. I'm ready to go now.
        Me: 	No problem, we aren't that far behind.
        Narr:	She appears nervous. Maybe you could say something to break the tension?
            Me: 	It was nice working out with you again, Violet.
            Violet:	Thanks, Dennis! You did so great at explaining the poses to Emily.
            Me: 	That's only because you're a great instructor.
            Narr:	You continue walking, laughing at your previous attempts at yoga. You managed to keep Violet from feeling awkward, and, in turn, got rewarded with a smile.
            Me: 	(She's so beautiful when she smiles. She's finally feeling more relaxed.)
            Me: 	You and Emily had quite a workout, huh?
            Violet:	Yeah, Emily seems eager for any kind of activity.
            Violet:	She has so much energy, it's astounding.
            Me: 	It was quite nice watching you both break into a sweat.
            Narr:	Why would you say something like that?
            Narr:	You continue walking in awkward silence. Your attempt at breaking the tension, although worthwhile, didn't succeed.
            Me: 	(She probably knows that I heard her. I mean, she's not wrong, but still.)
            Me: 	(Can't wait to get to the house so this situation is done with.)
        Me: 	Anyways, we better hurry. Emily is nowhere to be seen, which can only mean she's already there.
        Me: 	And that they're waiting for us.
        Violet:	Oh, okay. Then I hope you can keep up the pace.
        Me: 	(Damn it, Violet. You and your athletic legs.)
Narr:	Violet pulls you toward her, her sudden bravery catching you off guard.
Violet:	Hmmm.
Narr:	She pulls you in, so forcefully, yet her embrace is tender and her kisses passionate, as she slips you her tongue.
Narr:	You succumb and kiss her back with matching passion.
Violet:	*Soft moan*
Narr:	Her naked body is grinding against yours, trapped in throes of lust. She feels you up, her hand sliding against your hard cock.
Narr:	You can feel her whole body quivering.
Me: 	Violet, you're shaking.
    Violet:	I just want you, Dennis.
    Violet:	Can't get enough of you.
    Me: 	I can't get enough of you either.
    Violet:	I'm nervous.
    Me: 	Why?
    Violet:	I really like you, Dennis.
    Me: 	Hey, I really like you, too.
Me: 	We don't need to rush anything, you know that.
Violet:	I do, but I've been holding my feelings in for so long.
Narr:	Just to make her point perfectly clear, she pulls off your pants.
Violet:	I need your touch. I catch myself thinking about it way too often.
Violet:	More than I would like to admit.
Narr:	She takes your cock and starts stroking it, slowly picking up the pace.
Me: 	*Pant* You're not alone in that.
Narr:	Violet kisses you, her perfectly shaped tits press against your chest.
Narr:	Sun reflects off the tiny droplets of water still dotting her skin.
Violet:	*Moan* Mmmm.
Violet:	Your touch... it drives me wild.
Violet:	*Quiet gasp* Aaaaaah
Me: 	Violet...
Narr:	It's like her name leaving your lips turns her on even more. She kisses you hard, jerking you off even harder.
Me: 	Shiiiit.
Narr:	You suddenly and surprisingly stop Violet.
Narr:	Violet is baffled by your action. She is still slowly stroking your cock, unable to break her hold on you.
Me: 	Don't get me wrong - I'm loving this. Being with you here, a beautiful woman in front of me, naked...
Me: 	But, like I told you, I came here to get you since all the others already left, and, if we're late, Eve might not take it so well.
Me: 	I'd rather not piss her off.
Me: 	(Or give her a reason to suspect I'm fooling around with patients.)
Narr:	She appears disappointed, but, suddenly, a smile lights up her face.
Narr:	She pulls herself closer to you, and, with her hand still around your cock, starts stroking you faster.
Narr:	She whispers into your ear...
Violet:	What if we make it quick?
Me: 	(Woah, Violet is really persistent.)
Me: 	(Where did that shy and timid girl go?)
Me: 	(I'm loving this side of her. I just hope she doesn't end up a sex fiend like Belle.)
    Me: 	So, what did you have in mind?
    Violet:	Since we have to make it quick...
    Narr:	Violet bends, pressing her face and hands against the booth wall, and spreads her legs.
    Narr:	Her pussy, still dripping wet, alluring. Her perfectly toned ass, entrancing.
    Narr:	It's almost like a siren's song.
    Violet:	Dennis...
    Violet:	Ooooooooooh!
    Me: 	You're so wet.
    Narr:	You whirl your tongue around her pussy, slowly closing in on your target.
    Violet:	Mmmmmh, tell me what you'll do to me...
    Violet:	Uuuuhhhh.
    Me: 	I'm gonna make you cum.
    Violet:	Mmmmm, keep going like this and it's gonna happen.
    Narr:	Licking Violet's delicious pussy, you finally reach your target.
    Narr:	Circling her clit with your tongue, you insert a finger inside her. You feel her pussy tighten and Violet lets out a moan.
    Violet:	Aaaaaah, just like that...
    Violet:	Just like -
    Narr:	Violet's legs start trembling, the sensation traveling upwards.
    Narr:	Soon her ass is jiggling and she's grinding her pussy against your face.
    Violet:	- THAT!!
    Narr:	You stop licking her and get hold of her thighs.
    Narr:	Your hands travel along her smooth skin, feeling every vibration as she shakes.
    Violet:	*stuttering* Your touch is driving me crazy.
    Violet:	Uhmmm...
    Violet:	Please, put it inside!
    Me: 	You sure?
    Violet:	*Soft moan* Mmmmhmhh.
    Narr:	Violets turns and looks at you, a burning passion in her eyes. She's slowly nodding, her silence speaking volumes.
    Narr:	You slide deep inside her and she kisses you passionately.
    Violet:	Oh my god! Yeeees, yes, yeeees!
    Violet:	*Moan* Mmmmmmmmmh.
    Me: 	Your pussy's so hot.
    Me: 	And so tight. *grunt*
    Me: 	I can't believe I'm fucking you.
    Narr:	Violet seems invigorated by your words as she impales herself on you, rhythmically moving her hips.
    Narr:	Her pussy is swallowing your cock whole.
    Violet:	Your cock feels amazing.
    Me: 	Ghhhhhhhnghhh...
    Me: 	Fuck, you're gonna make me - 
    Violet:	- cum with me Dennis!
        Violet:	- cum with me Dennis!
            Narr:	You can barely hold it in anymore. Violet's tight pussy is constricting around you and she exclaims in passion.
            Violet:	Dennis!
            Violet:	I'm cuuuuummmmiiiing!!
            Me: 	Me too!
            Me: 	Let me cum on that firm ass of yours.
            Violet:	*Moan* Do it!
            Narr:	Violet arches her back, quivering in delight.
            Narr:	You can barely hold it in anymore. Violet's tight pussy is constricting around you, and she exclaims in passion.
            Violet:	Dennis!
            Violet:	I'm cuuuuummmmiiiing!!
            Violet:	I know how much you like my breasts, Dennis.
            Narr:	She starts playing with them, teasing you, enticing you to finish on them.
            Violet:	Let me feel how hot you are...
            Narr:	And you don't need too much convincing.
    Me: 	So, what did you have in mind?
    Violet:	Since we have to make it quick...
    Me: 	Oh god.
    Narr:	She swallows your whole length, releasing a burst of suppressed euphoria, causing you to jitter.
    Me: 	Violet, fuuuuck!
    Violet:	*Slurp*
    Violet:	Mmmmm.
    Me: 	*Grunt*
    Me: 	You're amazing at this, keep going.
    Narr:	As she's sucking your cock, VIolet's lips never part from it.
    Me: 	*Grunt* (Looks like all those yoga breathing exercises paid off) *Pant*
    Me: 	Fuck, I'm gonna cum really fast if you keep this up...
    Narr:	Violet suddenly slows down, letting your cock slowly slide out of her mouth as she gasps for air.
    Narr:	A trail of saliva still connects her with the object of her desire.
    Me: 	*Pant* Why'd you stop?
    Violet:	I'm not ready for you to be done.
    Me: 	Are you gonna demand ransom?
    Violet:	I just might.
    Me: 	Ughhh.
    Me: 	And what - fuck - would that ransom be?
    Me: 	*Low grunt*
    Violet:	*Suck*
    Violet:	*Ghhhhhhmmm.*
    Me: 	Mmph, if you keep going like this I'm gonna...
    Me: 	Fuuuuuuuuuck.
    Narr:	It seems she's now ready for you to be done.
    Narr:	Violet is still vigorously swallowing your cock and she can feel it start to throb in her mouth.
    Narr:	It incites her even further and she starts deepthroating you, eagerly.
    Me: 	Ghhhhhhhh, Violet, I'm gonna -
    Me: 	- I'm gonna cum!
        Me: 	- I'm gonna cum!
            Narr:	The look she gives you is the tipping point and you're unable to hold back anymore.
            Me: 	Violet, I...
            Narr:	Violet's lips, which had your cock in a tight grip, soften, evidently satisfied
            Narr:	She releases your still hard cock, slowly, still savoring your taste.
            Violet:	I know how much you like my breasts, Dennis.
            Narr:	She starts playing with them, teasing you, enticing you to finish on them.
            Violet:	Let me feel you between them.
            Narr:	You don't need too much convincing.
            Me: 	They feel... so goooood.
            Me: 	*Grunt* I'm cumming!
Me: 	*Sigh* That was incredible.
Violet:	Yes, very much so.
Violet:	Up for round two?
Me: 	My god, Violet, I said we had to be quick.
Me: 	You know I'd never refuse you, but you don't want to see Eve angry, trust me... we have to go.
Narr:	Violet snuggles up to you and rests her head on your chest, caressing you.
Narr:	You share a moment, lost in it for just a little while.
Violet:	Okay... I'll go and change.
Violet:	Meet you outside?
Me: 	Of course, I'm not going anywhere.
Narr:	You sit on the log and wait. Soon enough, Violet emerges from the cabin.
Me: 	(Damn, Violet's gorgeous. Confidence is so hot on her...)
Violet:	Oh, hi... sorry to keep you waiting, I'm ready to go.
Me: 	No problem, I just hope we're not too late.
Narr:	One would wrongfully presume that the walk toward the house would be filled with awkward silence.
Narr:	But, in fact, you enjoy spending time with Violet.
Narr:	Almost as much as she enjoys spending it with you.
    Me: 	Good morning, girls!
    svi:	Hi, Dennis!
    Narr:	Emily hurries ahead of the other girls and you think she's gonna throw herself into your arms.
    Narr:	She suddenly stops, mere inches from you.
    Emily:	We missed you at the campground, Dennis.
    Emily:	(I know I sure did...)
    Belle:	Hey handsome. *winks* Sleep well?
    Naomi:	Morning, Dennis. You look like you had a rough night.
    Violet:	The sky was so starry last night, Dennis. Hope you didn't spend your evening indoors.
    Narr:	Only Stacy remains quiet, hanging in the back. You think she might have mumbled something along the lines of ‘good morning'.
    Me: 	(Stacy looks tired, hopefully she had a peaceful night.)
    Me: 	Great to see you all, and yes, I slept so well I actually overslept.
    Me: 	I hope Emily brought you all up to speed?
    Emily:	Errr...
    Emily:	I just told them we need to go and see Eve at the Community area.
    Emily:	Did I forget to mention something?
    Me: 	No, it's all good. Eve just told us to bring them here.
    Me: 	Thanks for getting them here. I got held up by Eve.
    Emily:	It was no problem, Dennis. I managed to wake them up and even had time to work out with Violet.
    Emily:	She worked me so hard, everything aches.
    Me: 	(Wish I could have seen that.)
    Me: 	Did Naomi give you any trouble? Stacy, Belle?
    Emily:	Naomi was asleep but I woke her up. Stacy and Belle were sharing a bed, but they woke up pretty fast.
    Me: 	(Shared a bed? What happened there?)
    Me: 	How come?
    Emily:	How come they woke up so fast? *smiles* Or, how come they shared a bed?
    Me: 	The latter.
    Emily:	No idea, I didn't ask. I'm not the one to pry.
    Narr:	Same couldn't be said for you.
    Me: 	(I'll have to ask either Stacy or Belle what happened.)
    svi:	Hi, Kiara!
    Kiara:	Hey girls! Going to see Eve?
    Me: 	Yeah, we're supposed to meet her at the Community area. Are you gonna join us later?
    Narr:	She ignores you and carries the supplies inside the house.
    Me: 	(Hope she's not mad at me.)
    Eve:	Morning girls, hope you had enough sleep.
    Eve:	We have a lot to go through.
    Me: 	Ladies, let's go! Emily is gonna get Violet and meet us at the Community area. Eve's probably already waiting for us.
    Belle:	Can't we wait for them just a bit longer? I'll keep us entertained in the meantime.
    Naomi:	Does this mean I could have had more time to sleep?
    Me: 	No and no, we're going right now. We don't want to keep Eve waiting.
    Narr:	Belle is hanging back with Stacy, talking to her in a hushed voice. Naomi seems preoccupied with her own thoughts.
    Me: 	(I wonder what Naomi's thinking about...)
    Me: 	Penny for your thoughts?
    Naomi:	*Smiles* Such a corny phrase, Dennis.
    Me: 	Had to start a conversation somehow.
    Naomi:	Yeah... I'm just thinking about this camp. I wouldn't say it stifles my imagination, but it doesn't nourish it either.
    Naomi:	I'm usually brimming with stories to tell. Today I just feel... blank.
    Me: 	I hope the muse visits you soon. And if I can help, just let me know.
    Naomi:	Thank you. Maybe this day proves to be eventful enough to inspire a good story.
    Me: 	(Not too eventful, I hope.)
        Narr:	You're interrupted by a familiar voice. And an all familiar line of thought:
        Belle:	Don't you dare plan any threesomes without me!
        Belle:	Or foursomes, if Stacy's interested.
        Narr:	Stacy remains quiet. The aftermath of whatever nightmare she had is still visible.
        Belle:	*Jokingly* Oh, c'mon, Stacy, I'm certain Dennis would stoke your stove.
        Naomi:	Do you ever turn off?
        Belle:	*Sticks her tongue out* No, I'm always turned on.
        Me: 	(Haha, Naomi really walked right into that one.)
        Me: 	How are you doing, Stacy? Feeling any better?
        Stacy:	Yes, thank you. I'm better now.
        Stacy:	But no, I don't remember much of my dream yet.
        Me: 	I didn't want to pester you about that.
        Stacy:	But, you're interested? Is it because of your dreams?
        Me: 	I'm worried, Stacy. I'm worried there's more to this than just bad dreams.
        Stacy:	... (I'm worried about that as well.)
        Me: 	What's with Stacy and Belle? I've never seen them this close before (except for that time when they were having fun in their cabin).
        Naomi:	Who would know what's going on in their heads?
        Naomi:	Belle is... well, being Belle. But, I think Stacy cracked since we got here.
        Me: 	What do you mean?
        Naomi:	Don't tell me you haven't noticed?
        Naomi:	She was always a jumbled mess, but these days, she's incoherent to say the least.
        Naomi:	It was hard keeping track of what she was saying before.
        Naomi:	Now, it's impossible.
        Me: 	I've noticed she's been acting strange lately, too
        Naomi:	Isn't that your job, Dennis?
        Naomi:	Aren't you gonna do something about it?
        Me: 	Talk to her, I guess. Or tell Eve.
        Naomi:	Maybe it would be best if Eve handled it.
        Me: 	(I better find out what's happening, before Eve finds out more than what she's supposed to.)
    Narr:	As you approach the house, you spot Kiara carrying what looks to be the last of the supplies toward the house.
    svi:	Hi, Kiara!
    Me: 	(Kiara is back with the supplies. And, hopefully, tortilla wraps. I'm so scared it's gonna be sandwiches all over again.)
    Me: 	(I might go check in with her after I bring the girls to Eve.)
    Eve:	Morning girls, hope you had enough sleep.
    Eve:	We have a lot to go through today.
    Eve:	Dennis, where's Emily? And I see Violet's missing as well.
    Narr:	You're about to spill the beans to Eve when you hear a nearby shrill pierce the air.
    Emily:	CHICAAAAAS, WE'RE HEEEEERE!
    Eve:	Okay, as soon as Emily and Violet join us, we can start.
    Eve:	(They better hurry, my headache is starting to flare up.)
    Narr:	As you approach the Community area, you see Emily with the girls.
    Narr:	Eve is on the patio, eagerly waiting for you to gather.
    Me: 	They still haven't started. Seems we're not too late.
    Violet:	Yes, I wouldn't want to keep Dr. Eve waiting.
    Eve:	Good, now that everyone's here, we can start.
    Eve:	(Before my headache flares up.)
    Me: 	(Shit, nobody's here. And nobody's on the dock!)
    Me: 	(They've gone on without us.)
    Me: 	Shit.
    Narr:	You bang on the door, in an attempt to make Naomi hurry up.
    Me: 	Eve's not gonna be happy about this!
    Me: 	(Even worse, she might suspect something...)
    Me: 	Naomi!
    Me: 	Hurry up!
    Naomi:	I'm being as fast as I can, you can't rush art!
    Me: 	Well, art is going to be in trouble if it doesn't hurry up.
    Narr:	After more time than you're comfortable with, Naomi comes out.
    Me: 	Finally! Let's go!
    Naomi:	You're not gonna comment on my attire?
    Me: 	Naomi, you're as beautiful as ever, but we DON'T have time for this!
    Naomi:	Dennis!
    Narr:	As you approach the Community area, you see Emily with the girls.
    Narr:	Eve is on the patio, eagerly waiting for you to gather.
    Narr:	You feel eyes locking upon you both. You can already see them jumping to all kinds of conclusions.
    Narr:	Correct conclusions, but still.
    Me: 	(I better think of something... and quickly.)
    Naomi:	Sorry to keep you waiting, Dr. Eve. I was sound asleep, Dennis barely managed to wake me up.
    Naomi:	He was a real gentleman about it and didn't rush me out of bed.
    Naomi:	And Violet knows how I get when it's too early for me in the morning.
    Violet:	Haha, so true.
    Eve:	It's okay, Naomi. You're here now, we can finally start.
    Me: 	(Naomi apparently saved my ass.)
    Me: 	(Hope Eve and Emily don't suspect anything.)
Eve:	Thank you all for joining me so we can finally start.
Eve:	Before tonight's event, and, in case anyone's forgotten, we're having an eclipse viewing party.
Eve:	I would like for everyone to join me inside for a short lecture.
svi:	*Sigh*
Eve:	I know, I know. You've all just woken up and I'm already pestering you.
Eve:	During the lecture, we'll serve breakfast and refreshments, so you won't starve.
Eve:	I'm certain I can hold your interest for some time. We have an interesting topic to discuss.
Belle:	You have my undivided attention, every time, Dr. Eve.
Me: 	(Belle is at it again.)
Me: 	(She really has a thing for Eve, almost as much as she has a thing for me.)
Eve:	I'm glad you're sincere about it, Belle.
Eve:	There will be a Q&A after the lecture, where I'm certain we'll have a wonderful discussion.
Violet:	I, for one, am looking forward to it.
Eve:	Thank you, Violet.
Eve:	Okay, if we're all ready, we can head inside...
Emily:	Do we need to participate as well?
Me: 	(Emily's finally asking the real questions.)
Me: 	If it's not required, I'm sure there's work to be done around the camp.
Me: 	Or we can help prepare for the eclipse viewing?
Eve:	It's fine, you're not obligated to be at the lecture.
Eve:	But, I think everything is prepared and ready for tonight, so both of you are free for now.
Eve:	Just don't forget to check in with me later.
Eve:	The day is still young and there's plenty to do.
Emily:	Awesome, see ya' girls later!
Me: 	I'm sure all of you will have fun. Bye!
Naomi:	(He could have stayed and kept me company...)
Narr:	You leave and find Emily waiting in front of the house. Could she be waiting for you?
Me: 	Emily? Why are you still here?
