Me: 	*Mumbles* Whazza... Huh? Where am I?
Me: 	(Don't want any stray bullets hitting my face.)
Narr:	As they continue bickering, Emily keeps squirming and pressing down on your cock with her tight ass.
Narr:	Inevitably resulting in increased blood flow below the waist.
Me: 	(Shit, this is not good! I'm getting hard!)
Emily:	Whatever, I don't need to listen to anything you say.
Kiara:	Finally something we can agree on.
Me: 	Kiara, come on...
Narr:	Without saying another word, Kiara leaves the room.
Emily:	Oh, just leave her. Who needs her, anyway? (That's right, Kiara, keep walking...)
Emily:	You and me can still have fun, right?
Me: 	Right... (Damn it. At this rate, I'll never have time to properly talk to Kiara.)
Narr:	For a moment, you forget about your ever-growing erection...
Narr:	And it gets big, and hard, enough for Emily to notice.
Emily:	(Oh, what's this? Something's poking my butt?)
Narr:	She squirmed a bit more, like trying to find a comfortable position on your lap.
Emily:	*Chuckle* (He got hard! Because of me?)
Emily:	So, [m!ct]... What are you doing with the rest of your day? (I'm definitely gonna tease you a bit more...)
Me: 	Oh, you know, nothing much. (Shit! She can feel it now, for sure.)
Emily:	Maybe we could have some fun together?
Narr:	Emily moves and shifts as she talks...
Narr:	Constantly teasing your length.
Me: 	I-I don't know. I'll probably be busy. (I need to get her off me somehow.)
    Me: 	I-I don't know. I'll probably be busy. (I need to get her off me somehow.)
        Me: 	Sorry...
        Narr:	With Emily still sitting on your lap, you stand up and lift her...
        Narr:	Trying your best not to let your boner touch her...
        Emily:	Oh, my... (I didn't know [m!t] was this strong.)
        Emily:	Well aren't you a dream-boat... (He lifted me effortlessly.)
        Me: 	My leg was going numb, had to.
        Emily:	Mhmmm, I see... (You're full of shit.)
        Narr:	You put her down and quickly turn around.
        Narr:	Hoping she doesn't see your bulge...
        Me: 	I'm gonna go for a walk, see what's going on. (I need to get away from her.)
        Emily:	Okay, have fun. (He's cute when he's flustered. I think [m!t] might be packing.)
        Emily:	(I wouldn't mind sneaking a peek...)
        Narr:	Finally, as you're about to leave...
        Narr:	You bump into Eve, turning the corner.
        Eve:	Hey! What's the rush, [m!t]?
        Me: 	Sorry. I was heading out.
        Eve:	Here, take this...
        Eve:	On that list you'll find several chores that need to be done.
        Eve:	I'd appreciate it immensely if you could help out with this.
        Me: 	Umm, sure...
        Me: 	I’ll have the chores done in less than an hour.
        Emily:	Oh, really? Want to bet on that?
        Me: 	*Scoff* Why would I bet with YOU?
        Emily:	So I can get something from you when I win.
        Me: 	IF you win...
            Me: 	IF you win...
                Me: 	If I'm done with everything before this afternoon, you'll owe me a favor that I can cash in any time.
                Emily:	And, if you lose, you have to do whatever I want, once.
                Me: 	Deal.
                Emily:	Deal.
                Me: 	I can't wait to prove you wrong.
                Emily:	We'll see about that.
                Me: 	Oh, we will see.
                Emily:	Oookay, [m!t].
                Me: 	See you in an hour!
                Narr:	Feeling amused and surprisingly motivated, you speed off towards camp.
                Me: 	No, thanks. I don't have anything to prove to you.
                Emily:	Oh, come on! Be more spontaneous!
                Me: 	Some other time, Em.
                Narr:	Somewhat annoyed, yet surprisingly motivated, you speed off toward camp.
        Me: 	(Maybe she hasn't noticed, otherwise she'd mention something, right?)
        Me: 	(I should keep my cool and pretend nothing's happening.)
        Narr:	Which you find very hard to do...
        Narr:	Since she's still clinging onto you, squirming in your lap.
        Emily:	Come ooon, let's hang out more. (Let me play with you!)
        Me: 	I'd love to hang out with you, but I'll probably have to help out around camp some more.
        Emily:	*Sigh* I guess so. (Bah, how boring.)
        Me: 	(Alright, she'll probably let up now.)
        Emily:	*Stare*
        Me: 	Uhhh...
        Emily:	How about later, then?
        Me: 	I mean, I'd like to. I just don't--
        Narr:	Squirming and begging in your lap, Emily is getting restless.
        Emily:	Come oooooonnnnnn... (Damn, he's really hard...) 
        Emily:	I wanna spend some time with youuuu! (And huge!)
        Me: 	Alright, fine! We'll figure something out. (She's definitely grinding me on purpose. What is she thinking!?)
        Emily:	Yaaay! Fun times with [m!t]! *Chuckles* (Maybe I'll even get to see it.)
        Narr:	Suddenly, Eve appears in the living room...
        Eve:	Thought I'd find you here.
        Emily:	Hi!
        Eve:	I'd appreciate it immensely if you could help out with this.
        Eve:	I know this wasn't what you had in mind, but...
        Emily:	[m!ct] would be happy to do it, right?
        Eve:	You're a sweetheart, [m!t].
        Me: 	Great, thanks.
        Narr:	With that, Eve leaves the room.
        Narr:	Smiling sincerely, Emily turns back towards you.
        Me: 	Wow, Emily... Thank you. I can't believe you stood up for me.
        Me: 	Thank you SO MUCH for suggesting I'd be happy to do those chores.
        Emily:	You're VERY welcome!
        Me: 	Hah-Umm, yeah...
        Emily:	Ooh, can't wait. *Chuckle*
        Me: 	Hah-Umm, yeah... (Someone kill me, please!)
        Emily:	See you later, [m!t].
        Narr:	Giggly and playful, Emily prances out of the room...
Me: 	(I have what I need.)
        Me: 	For fuck's sake... (How am I supposed to fix the roof?)
        Me: 	(I'll have to find a hammer, some planks and a way to get up there.)
        Me: 	(I'm still missing the tools to fix the roof.)
        Me: 	(They should be around here somewhere.)
    Me: 	(Now, to fix the roof...)
    Me: 	Okay, let's try to get up there.
    Me: 	(Eve sent me here to die, I just know it.)
    Me: 	(And... these chores aren't helping.)
    Me: 	(Thank God I don't have vertigo.)
    Narr:	Struggling to lift yourself and the equipment, you manage to climb onto the roof.
    Me: 	(That could've been worse.)
    Me: 	(For a second, I thought I'd break my neck or something.)
    Me: 	Right. (Let's find this hole...)
    Me: 	(Why they haven't patched it already is beyond me...)
    Me: 	(Ah, here it is.)
    Narr:	Beneath your feet, you spot a large hole in the roof.
    Me: 	(I'm surprised Naomi hasn't complained about it already.)
    Narr:	At that moment, Naomi pops into view in the cabin.
    Me: 	(Oh, she's already back?)
    Me: 	(What is she doing?)
    Narr:	To your utmost surprise, Naomi starts taking off her dress...
    Me: 	(Hah, just stripping!)
        Me: 	(Hah, just stripping!)
            Me: 	(I'll see her tits if I keep this up!)
            Me: 	(I'm making a bad habit out of spying...)
            Me: 	(But how can I not?)
            Me: 	(I mean, just look at her...)
            Me: 	(I'm not capable of saying "no" to this opportunity!)
            Narr:	Naomi holds her dress in one hand...
            Narr:	And drops it on the floor.
            Narr:	As she turns around, you get a good birds-eye-view of Naomi's chest.
            Me: 	(Wow, she's fucking hot!)
            Me: 	(Even though she IS a princess...)
            Me: 	(And, not the charming and affectionate type, either.)
                Me: 	(And, not the charming and affectionate type, either.)
                    Me: 	(She's just standing there, tits out...)
                    Me: 	(What's she thinking?)
                    Narr:	Naomi suspiciously looks around for a few seconds...
                    Narr:	Before slowly bending over...
                    Me: 	(Wait, you're not gonna...)
                    Narr:	And dropping her panties.
                    Narr:	Your vantage point is perfect, allowing you to get a nice view of her ass.
                    Me: 	(She's completely naked! Not even wearing underwear!)
                    Narr:	Now nude, Naomi walks towards her bed...
                    Narr:	And sits her round butt on it.
                    Me: 	(Damn, woman! You're one hot piece of ass, that's for sure.)
                    Me: 	(Though, I'm a bit more tense with her facing this way.)
                    Me: 	(If she looks up, she might see me...)
                        Me: 	(If she looks up, she might see me...)
                            Me: 	(I mean, I'm too far gone already, aren't I?)
                            Me: 	(I just wanna enjoy this moment a little longer.)
                            Narr:	Naomi's still sitting on her bed... still looking around suspiciously.
                            Me: 	(What's she looking for?)
                            Me: 	(Maybe she's checking to see if anyone's around...)
                            Me: 	(But, wait! That means she could...)
                            Narr:	Your suspicions seem to materialize, as Naomi "inconspicuously" spreads her legs...
                            Me: 	(She's really going to finger herself!?)
                            Me: 	(Why doesn't she at least pull a blanket over herself or something?)
                            Me: 	(Man, I'm rock-hard as is...)
                            Me: 	(I'll lose my mind if she starts playing with herself!)
                            Narr:	She starts gently caressing her pussy, as you watch, hoping the show will heat up...
                            Me: 	(Man, I just want to plow that pussy, and--)
                            Narr:	With her hand still between her legs...
                            Narr:	Naomi suddenly lifts her head. 
                            Narr:	Looking you directly in the eyes, with a smirk on her face.
                            Me: 	Shit! (Wait, she knew I was here the whole time!?)
                            Narr:	The shock almost makes you jump out of your skin.
                            Narr:	It didn’t, but it did throw off your balance.
                            Me: 	Ho-O-oooo-Llly...
                            Me: 	Fuuuuuuuuuuuuuuu...
                            Narr:	Of course, the obvious happens...
                            noname We have to get you to a hospital!
                            Me: 	The hospital? What are you talking about?
                            Naomi:	You're right, you probably don't need one.
                            Me: 	Naomi?
                            Naomi:	Yes, it's Naomi.
                            Naomi:	[m!ct]?
                            Naomi:	[m!ut]!
                            Me: 	Huh, yeah?
                            Naomi:	Are you hurt?
                            Me: 	I-Ugh...
                            Me: 	(Wow, nice view...)
                            Naomi:	[m!ct]?
                            Me: 	(I wouldn't mind dying like this.)
                            Naomi:	[m!ut]?!
                            Me: 	Huh? Sorry, what did you say?
                            Naomi:	Are you hurt!?
                            Me: 	Ummm...
                            Me: 	Let me check...
                            Me: 	(Just my imagination... or brain damage...)
                            Me: 	Yeah... No, I think I'm fine.
                            Me: 	I was able to land safely, somehow.
                            Naomi:	"Land"? More like crash!
                            Naomi:	You bounced back up like three feet in the air...
                            Naomi:	It's a miracle you're alive. (Maybe a clot kills him in three years, though...)
                            Me: 	What doesn't kill me, right?
                            Naomi:	Maybe... If the fall hasn't caused brain damage.
                            Naomi:	Can you stand up?
                            Me: 	I think so.
                            Narr:	Naomi wraps your arm around her shoulders and tries lifting you up.
                            Naomi:	One... Two... Three!
                            Naomi:	*Grunt*
                            Naomi:	Can you stand?
                            Me: 	Yeah, I'm fine. Just a bit dizzy...
                            Me: 	And sore.
                            Naomi:	Thank God. I thought I already managed to kill you with my vagina.
                            Me: 	Mhmm... (You'd love that, wouldn't you?)
                            Naomi:	It’s too bad, though. If you hadn't fallen, you'd have gotten to see the whole show.
                            Me: 	Great... I'll have to be stealthier next time.
                            Naomi:	You don't have to sneak around if you want to have fun with me...
                            Naomi:	You should just ask.
                            Naomi:	"Hey, beautiful, sexy Naomi"...
                            Me: 	(Yeah, that's how I'd ask...)
                            Naomi:	"Can I watch you finger your pussy for a while?"
                            Me: 	That's not going to happen... (She really has no shame.)
                            Naomi:	"I can take my dick out, and we can both masturbate to each other's image."
                            Me: 	Naomi, for the hundredth time, I'm seeing someone, and I'm not going to cheat on her!
                            Naomi:	*Scoff* So you'd rather skulk in the shadows and get yourself killed, instead of openly having fun with me?
                            Naomi:	Talk about simpleminded and hypocritical...
                            Me: 	Yeah, I'm a real dumbass.
                            Naomi:	You are, you really are.
                            Narr:	Naomi spins around on her heels...
                            Narr:	And goes back inside the cabin.
                            Me: 	Such a spoiled princess.
                            Me: 	But... (What if she's right?)
                            Me: 	(What if I just asked for it?)
                            Me: 	No, no! Come on! (I can't let her manipulate me like that.)
                            Me: 	(I obviously fell into her trap, and now she's using it against me.)
                            Me: 	(Sneaky little...)
            Me: 	(Enough, I already saw more than I should've.)
            Me: 	(I don't want further problems falling in my lap.)
            Narr:	Not caring about what's happening inside, you patch up the roof.
            Me: 	(Wonderful! Just look at this fabulously patched roof...)
            Me: 	(I really outdid myself.)
            Me: 	(Every construction worker would want me as their son-in-law, that's for sure.)
            Me: 	Okay. (Enough with the self-flattery.)
            Me: 	(I need to get down from here in one piece.)
            Narr:	You get off the roof by climbing down the ladder.
            Me: 	Phew... (I'm surprised I managed to come down unscathed.)
            Me: 	(It's not deadly, but I still want to hit the ground from that height.)
            Me: 	*Chuckle* (Just imagine the impact...)
            Me: 	Hmm, moving on... (What's next on the list?)
Me: 	(A bucket and sponge, there we go.)
Me: 	(Off to polish some wood...)
Me: 	*Sigh* (What a redundant effort.)
        Me: 	(Oh, look. Violet's already on the dock.)
        Me: 	(Letting that sexy butt take in the sun...)
        Me: 	(I should go get the stuff to clean the dock before I get totally distracted.)
        Me: 	(It's impossible to clean the dock without a sponge and some cleaning agent.)
        Me: 	(I could probably find that stuff in the main house's bathroom.)
    Narr:	You approach the dock...
    Narr:	Before you could say anything, Violet hears your footsteps and turns to face you.
    Me: 	Hey, Violet.
    Violet:	Hey, busy-bee. Whatcha doin'?
    Me: 	Swabbin' the deck, cap'n.
    Violet:	*Chuckle* I better leave you to it, swabbie.
    Me: 	Yarrr...
    Narr:	You get on all fours and start polishing.
    Narr:	It's not very fulfilling, nor is it fun. 
    Narr:	And, it doesn't take long for your mind to begin looking for something more interesting to occupy itself with.
    Narr:	Violet's voluptuous glutes were more than "interesting".
    Me: 	(Is this what summer's gonna be like?)
    Me: 	(Besieged by tits and butts wherever I go?)
    Me: 	(Yet, I can't touch anything?)
    Me: 	*Sigh* (My balls will change color by the end of summer.)
    Violet:	Something wrong?
    Me: 	Uhh.. No, no.
    Me: 	I'm just not very motivated to clean something that's left to the mercy of the elements year-round.
    Me: 	Doesn't really make sense.
    Violet:	Maybe you could... You know...
    Violet:	If it's not a problem or anything...
    Violet:	If you're not too busy...
    Me: 	What do you need?
    Violet:	It's so hot outside... and I'm afraid of getting sunburned, and...
    Violet:	I'd do it myself, but I'm a bit sore...
    Violet:	If it's not too much to ask...
    Me: 	Just spit it out.
    Violet:	Could you... Put some sunscreen on my back?
    Me: 	Okay. (You don't have to tell me twice!)
    Violet:	Okay? OKAY!
    Violet:	Ummm... Here's the sunscreen.
    Violet:	You can start wherev--
    Violet:	Whenever you like.
    Me: 	Sure.
    Narr:	You apply the sunscreen...
            Me: 	Whoops!
            Narr:	You underestimate your own strength, and squeeze the bottle way too hard...
            Narr:	Spraying a geyser of sunscreen all over Violet’s back.
            Violet:	[m!ct]!
            Me: 	Sorry! I didn’t think this would happen.
            Violet:	It’s fine, it was an accident.
            Violet:	But, now I have to go wash this all off.
            Violet:	See you later.
            Me: 	See ya.
            Me: 	(Well, I guess better get back to work, then...)
    Narr:	And begin spreading it around Violet's back.
    Violet:	Mmmm, feels nice...
    Me: 	(So do you.)
    Violet:	Mmmm...
    Me: 	(Her purring isn't helping.)
    Violet:	D-Do you mind if I undo my top?
    Violet:	I don't wanna get tan lines.
    Me: 	Go ahead, I don't mind. (Fuck, her skin feels so nice under my fingertips.)
    Narr:	To your surprise, Violet doesn't just undo her bikini's top, she removes it completely.
    Narr:	You continue massaging-in the sunscreen.
    Narr:	But you couldn't apply proper pressure from this position.
    Me: 	Hey, would you mind if I get on your back? It's a bit difficult to massage the sunscreen on like this.
    Violet:	Uh, yeah... Go ahead. (He's getting on top of me?)
    Narr:	You extend your leg and "mount" Violet.
    Me: 	(Is it getting hot in here, or am I just having a heat stroke?)
    Violet:	Mmmm, you're right, it's even better this way.
    Violet:	And your hands feel wonderful.
    Me: 	I'm glad you like it. (This is making me rock hard...)
    Me: 	(I mean, I'm sitting on her ass...)
    Me: 	(Touching her bare back...)
    Me: 	Uhh-Gladly. (Whoops, was I a bit too direct.)
    Violet:	*Chuckle* ("Gladly"? That means he's enjoying it too, right?)
    Narr:	You stand up and turn around, facing Violet's firm legs.
    Narr:	You sit on her back, but this time, you have a first-row view of her ass.
    Me: 	(My God, just look at those plump hills.)
    Me: 	(And my boner is nearly touching them.)
    Me: 	(I wish I could relieve myself with these cheeks.)
    Me: 	(Cum all over her...)
    Me: 	(And smear it in like sunscreen...)
    Me: 	...
    Me: 	(I keep thinking of sex and having erections all the time.)
    Me: 	(Seems like that one time with Jane was far from enough.)
    Me: 	(It only served to get me going more...)
    Me: 	(I better wrap this up before it gets too awkward.)
    Narr:	You stand up again.
    Narr:	With the job complete, and wanting to get off as soon as possible, you clap your hands.
    Me: 	There, all done! (Now to get off of you, so you don't see my hard-on.)
    Violet:	AAaahhhh!
    Narr:	Unexpectedly, Violet makes a noise...
    Narr:	For a small, miniscule moment, you could bet it sounded a bit like a moan.
    Me: 	Huh? (Did she just...)
    Violet:	*Pant* *Nervous chuckle* Sorry, there was... A bug! (Fuck, he caught me off guard!)
    Violet:	It startled me, that's all. (He probably suspects something's wrong.)
    Me: 	U-Huh... (Who makes such a hot noise when they get startled?)
    Violet:	I-I have to go. I'll talk to you later. (I need to leave before he starts asking questions.)
    Narr:	As soon as she can, Violet gets up and scurries away.
    Me: 	(What was that all about?)
    Me: 	(Whatever it was, it doesn't change the fact that I need to scrub this dock.)
    Me: 	*Sigh* Wax off, wax on...
    Narr:	What seems like eons later...
    Me: 	There, fuck...
    Me: 	Finally done!
    Me: 	*Grunt* (My right arm hurts so bad, I don't think I'll be able to jerk off for a while.)
Narr:	You arrive at the chopping block.
Me: 	(What do we need wood for, anyway? It's an inferno outside.)
Me: 	(She probably just wants me to "build character" or some crap.)
Me: 	(Get all sweaty and disgusting for no real reason...)
Me: 	*Sigh* (Whatever, I better just get it over with.)
Me: 	(Maybe, she wants to see me all sweaty and manly...)
Me: 	(With all the teasing...)
Me: 	Now then...
Me: 	...
Me: 	(Where's the axe?)
Me: 	Where's the bloody axe?!
Me: 	Damn it... (Why can't it ever be easy?)
Me: 	Oh, here it is.
Me: 	Man, I should really get my eyes checked out...
Me: 	... (Now that I look at the camp a bit, axe in hand...)
Me: 	... (Seems like a good setting for gory horror stories.)
Me: 	Hmm... (If I was a psycho, I think I'd enjoy it.)
Me: 	(Just imagine what would happen...)
Me: 	(If the wrong person got their hands on it...)
Me: 	...
Me: 	(Maybe not.)
Me: 	Now, where did we leave off?
Me: 	Ah, yes!
Me: 	"Mr. Tree,", you thought you could get away from me, did you?
Me: 	*High-pitched voice* No, sir, please, I have thirty-odd wives and several thousand children!
Me: 	Shh, shh, shh... Don't be scared.
Me: 	A lot of trees end up as firewood, it's the natural order of things.
Me: 	*High-pitched voice* NO, it's not natural! Humans are not natural, they're monsters!
Me: 	Well, you may be right, "Mr. Tree"...
Me: 	But at the end of the day, you're sitting on a log, and I'm holding the axe.
Me: 	*High-pitched voice* Nooooo!
Me: 	I'm sorry.
Me: 	And... Mr. Tree?
Me: 	*High-pitched voice* Y-Yes, [m!ct]?
Me: 	For what it's worth, you were the best of us.
Me: 	May Gaia have mercy on your soul...
Narr:	As you say this, you lift the axe up, above your head...
Me: 	*High-pitched voice* Goodbye, Olivia... I guess I won't be coming home after all.
Narr:	Several chops later...
Narr:	You're already shirtless and sweaty...
Me: 	*Singing* Cutting wood...
Me: 	And wadda'ya get...
Me: 	A prisoner...
Me: 	In a rehab center...
Me: 	Swinging my axe...
Me: 	And-AAAAHHHH!
Narr:	You get startled, throwing your hands in the air...
Narr:	Along with the axe...
Narr:	It doesn't take long for it to come back down.
Me: 	STACY!? You scared the shit out of me.
Stacy:	Charred Kings guide your way.
Me: 	I almost lost a foot...
Me: 	How did you even...
Stacy:	You were busy talking to that piece of wood, and I didn't want to interrupt.
Stacy:	Seemed important.
Me: 	Yeah, it was. Just don't tell anyone I'm talking to logs, okay?
Me: 	I'll end up as a patient...
Stacy:	So what? I talk to fire all the time.
Me: 	Yeah... Of course you do. (She's rubbing off on me in a very bad way.)
Stacy:	*Stare*
Me: 	So, did you need something or have you come here to indirectly assassinate me?
Stacy:	No, just finished with the briefing...
Stacy:	Then I got drawn by the sound of future fires and ran into you.
Stacy:	*Stare*
Me: 	Hey, my eyes are up here.
Stacy:	I am aware.
Me: 	(This fucking chick...)
Stacy:	So, are you making a fire? For me?
Me: 	Actually, I have no idea what I'm doing.
Me: 	All I know is that this wood needs chopping.
Stacy:	Spoken like a true lumberjack.
Me: 	Thanks. (I'm not sure if that was an insult or a compliment...)
Me: 	Do you mind if I-Uhhh, continue?
Stacy:	No, of course not!
Stacy:	I'll just sit here, quiet as a bug.
Narr:	Stacy sits on the fence, still eyeing you intently.
Me: 	(I can practically feel her drooling...)
Me: 	(But it kinda feels nice, knowing that a gorgeous woman is eyeing you.)
Me: 	(If she's enjoying it, maybe I should as well?)
Me: 	(Flex my muscles a bit and stuff.)
Narr:	Stacy continues to admire your sweaty manliness, while you take extra effort to look even more attractive.
Narr:	And before you know it, Stacy has something to say...
Stacy:	You're remarkably well-built.
Me: 	Thanks. (Yeah, she likes what she sees.)
Stacy:	Something I didn't noticed yesterday.
Me: 	(Yesterday? Shit, I completely forgot about that!)
Me: 	S-so, w-what were we doing yesterday, huh?
Stacy:	Hanging out, inhaling spirits...
Me: 	That's right, we were smoking something... Funny...
Stacy:	*Chuckle* Yeah, it was funny.
Me: 	What do you mean?
Stacy:	Well, with all the kissing and...
Me: 	KISSING!? You're joking, right?
Stacy:	*Stare*
Me: 	You're not joking?
Stacy:	*Stare*
Me: 	(She's not joking...)
Me: 	But I remember almost nothing.
Me: 	What the hell did we smoke yesterday?
Stacy:	I can't remember.
Me: 	...
Me: 	(I expected too much from her.)
Me: 	*Chuckle* (I'm so fucked...)
Me: 	(I'm not even sure how far we went.)
Me: 	(The only two people who know what happened also have fucking amnesia...)
Me: 	(If I want my life intact, we'll have to keep it a secret.)
Me: 	(We definitely can't let anyone know.)
Me: 	Stacy, I wanna ask you for a favor...
Me: 	Can we keep it a secret? The thing that happened between us?
Me: 	It'll cause problems otherwise.
Me: 	Stacy?
Me: 	Stacy!?
Me: 	(Is that her thing?)
Me: 	(Is that Stacy's thing?)
Me: 	(And they said I'm a creeper...)
Narr:	Some time later...
Me: 	*Pant* I give up. *Pant*
Me: 	(Should be enough to last us through the whole summer...)
Me: 	(And if Eve's not satisfied, she can "build character" herself.)
Narr:	You open the office door and enter.
Belle:	Hey, [m!ct].
Me: 	Woah!
Eve:	[m!ct]! Are you allergic to knocking?
Me: 	Runs in the family.
Eve:	We're having a private session here.
Me: 	My bad, I thought everyone finished already.
Eve:	Why are you here?
Me: 	I'm supposed to clean the office, remember?
Me: 	Your orders.
Eve:	As you can see, we're a bit busy right now.
Eve:	You should come back later. 
Eve:	I forgot to tell you I was holding a session here.
Me: 	Alright, I'll do the rest first.
Me: 	A-And, sorry for intruding.
Belle:	I don't mind.
Eve:	We'll live, just learn to knock, okay?
Me: 	Okay. (Do I really have a knocking problem?)
Narr:	You leave the office and close the door behind you...
Me: 	(I actually might have a knocking problem...)
Me: 	(Not that I lack common courtesy, but I do keep barging in on people.)
Me: 	Nah.
Narr:	You get back to the office.
Me: 	(Belle's probably done by now.)
Me: 	(I should go clean the office.)
Narr:	You knock on the office door.
Narr:	Yet no one answers.
Me: 	(Must be out. Guess that's my cue.)
Narr:	Confident the office is empty, you enter...
Narr:	Only to find another surprise lying in wake.
Belle:	Why, if it isn't my favorite "staff"!
Me: 	Belle? What the hell are you doing in here?
Belle:	Nothin'. Just browsing, that's all.
Me: 	Where's Eve?
Belle:	Oh, she left.
Me: 	And left the office door unlocked?
Belle:	Yes?
Me: 	*Sigh* You're pushing your luck.
Me: 	Wait, whose phone is that?
Belle:	Mine?
Me: 	That's Eve's phone! Why do you have her phone?!
Belle:	I found it here?
Me: 	Here? In the office?
Me: 	So, not only did you break in, but you also took something that doesn't belong to you AND intruded on her privacy?
Belle:	When you put it that way, nothing sounds good.
Me: 	Give it back, NOW!
Belle:	No way, have you seen her photos?
Belle:	Who would've thought Dr. Eve's such a slut.
Belle:	Honestly, they even make me want to fuck her...
Me: 	HEY!
Belle:	Whaaaat? She's hot. You should be happy she's hot.
Me: 	Just give the damn phone back!
Belle:	Fine, sheesh. What's up your bum?
Me: 	Nothing!
Belle:	Maybe that's the problem. *Giggle*
Me: 	Belle...
Belle:	Okay, okay... Tell you what...
Belle:	I'll give it back if you take a few pictures of me.
Me: 	Why should I? I can just report you and be done with it.
Belle:	If you don't, I'll tell everyone you creeped on me this morning.
Me: 	You were awake!?
Belle:	"Tee-hee".
Me: 	*Sigh* FINE! Let's get it over with.
Belle:	Oooh, lovely!
Belle:	Trust me, you'll love it.
Me: 	Whatever... Where do you wanna do this?
Belle:	How about over there, out on the deck?
Me: 	(Something's bound to happen, I just know it.)
Narr:	Still a little pissed off, you exit the office with Belle.
Belle:	Ready?
Me: 	Yeah. What do you even need these for?
Belle:	My site. I'm sure they're very hungry for some fresh content.
Me: 	(Totally nuts...)
Belle:	I didn't post for almost a week. Poor things...
Me: 	Wait, you're not gonna...
Belle:	What do you think?
Me: 	I mean like, here, now, with me!?
Belle:	Yeah, got a problem?
Me: 	*Sigh* Let's just do it before someone sees us...
Narr:	You point the camera at Belle, as she strikes her first pose.
Me: 	Got it. Are we done?
Belle:	*Chuckle* Oh, no, no. This is just the start.
Narr:	Belle smiles slyly as she gets undressed...
Me: 	Oh, God... (What did I get myself into now?)
Narr:	Each of Belle's subsequent poses are sexier and more lewd than the last.
Narr:	Eventually, and inevitably, her seduction gets your dick hard...
Narr:	And it doesn't take Belle long to notice it.
Belle:	Looks like you're a fan as well.
Me: 	Hard not to be with the things you're doing in front of me...
Narr:	Belle gives you a blank stare.
Narr:	Turns around without saying anything.
Narr:	And, all of a sudden, drops her pants and panties around her ankles.
Me: 	(She's getting completely naked!? HERE!?)
Narr:	Still bent over, she glances over her shoulder...
Belle:	Wanna come inside?
Me: 	Uhh...
Narr:	Belle slowly starts twerking and swaying her ass, impatiently calling out to you...
Belle:	Come oooon, just stick it in.
Belle:	I'm ready for you, and you obviously like me.
Me: 	N-N-No! Stop!
Belle:	Awww, too direct?
Me: 	Too everything!
Belle:	Oh, come on, [m!ct]... Would you really deny me this pleasure?
Belle:	How can you say no to this?
Me: 	I have my reasons.
Belle:	Who are you trying to fool with that bulge?
Belle:	Aren't you a man?
Belle:	And a well-endowed one at that. *Chuckle*
Me: 	I'm seeing someone, Belle...
Belle:	*Yawn* Again with that same, boring, excuse.
Belle:	Your girl's not around, just us two.
Belle:	And, I won't tell if you won't.
Me: 	I'm very flattered, but I have principles.
Narr:	Belle takes a look at you, from head to toe, almost as if she was evaluating your worth...
Belle:	Hmm... Give me the phone.
Narr:	You return the phone to Belle.
Narr:	She grabs it and starts typing something in...
Narr:	You can't really see what she's doing, but you wait for her to finish.
Belle:	There, all done.
Me: 	What did you do?
Belle:	Gave my fans what they want.
Belle:	At least they know what they want, and aren't afraid to ask.
Narr:	Still naked, Belle starts walking back to her cabin...
Me: 	W-Wait, you're leaving, like that?
Belle:	Yuuup.
Me: 	Someone's going to see you!
Me: 	Belle!?
Me: 	...
Me: 	*Sigh* If she doesn't give a fuck, neither do I.
Me: 	(I still need to clean the office.)
Me: 	(Better get to it...)
Narr:	Some dusting, mopping and sorting some things here and there...
Narr:	And you're done cleaning the office pretty quickly.
Me: 	*Cough* (Finally, all done.)
Me: 	(No more chores for today, hurrah!)
Me: 	Oh, right. (I still need to give Eve her phone back.)
Me: 	(Her phone with who knows what kind of pics...)
Me: 	Hmm... (Now that I think about it, I'm kinda curious.)
    Me: 	Hmm... (Now that I think about it, I'm kinda curious.)
        Me: 	(I'm just too curious...)
        Me: 	(Who is Eve, really?)
        Me: 	Entering the phone's menu, you see a few folders.
        Narr:	As you open the phone's gallery, you start sifting through its photos...
        Narr:	Most of the pictures are of people she likes, selfies, cats and vistas.
        Me: 	(That's the time she went to Italy...)
        Me: 	(Kiara and Emily...)
        Me: 	(Wow, this one's nice.)
        Me: 	(Oh, look! She even has one of me.)
        Me: 	Huh... (What's Belle talking about?)
        Me: 	(I literally haven't found a single "naughty" photo, let alone a perverse one.)
        Narr:	Almost ready to give up, you scroll a bit further, until you find a selfie of Eve, showing some skin...
        Me: 	There we go. (God, what am I doing?)
        Me: 	(I mean, it's just a "boilerplate" selfie.)
        Me: 	(She even has her bra on... That's, like, full vanilla.)
            Me: 	(She even has her bra on... That's, like, full vanilla.)
                Me: 	Wait... (There's another folder.)
                Me: 	("Gardening"? Since when is Eve into gardening?)
                Narr:	Without really thinking about it, you open the folder...
                Me: 	HO-LY SHIT! (She has some serious nudes in here!)
                Narr:	It's full to the brim with a variety of photos.
                Narr:	But all had one thing in common, SEX... And, Eve...
                Narr:	Eve in tight skimpy clothes...
                Narr:	Eve in thongs...
                Narr:	Eve spread naked on the bed...
                Narr:	Each subsequent picture gets lewder than the last.
                Me: 	(Fuck, Belle was right... Eve IS a closeted slut!)
                Me: 	Fuck. (I got hard... from looking at Eve's lewd body!)
                Narr:	Before you have time to dwell on the morality of the situation...
                Me: 	(Is that a...)
